time,open,high,low,close,volumn
2024-11-13 02:55:00,3239.53,3239.85,3236.75,3238.75,
2024-11-13 02:56:00,3238.75,3239.68,3236.04,3239.6,
2024-11-13 02:57:00,3239.6,3241.87,3238.72,3241.5,
2024-11-13 02:58:00,3241.5,3251.97,3240.71,3251.59,
2024-11-13 02:59:00,3251.59,3252.73,3250.64,3251.55,
2024-11-13 03:00:00,3251.55,3253.11,3246.83,3249.02,
2024-11-13 03:01:00,3249.02,3249.46,3245.79,3245.86,
2024-11-13 03:02:00,3245.86,3250.05,3245.69,3249.76,
2024-11-13 03:03:00,3249.76,3256.91,3248.95,3256.42,
2024-11-13 03:04:00,3256.42,3256.79,3250.74,3251.93,
2024-11-13 03:05:00,3251.93,3252.04,3245.53,3246.42,
2024-11-13 03:06:00,3246.42,3248.92,3244.73,3246.07,
2024-11-13 03:07:00,3246.07,3248.48,3242.61,3246.6,
2024-11-13 03:08:00,3246.6,3247.75,3244.28,3246.21,
2024-11-13 03:09:00,3246.21,3249.15,3245.32,3246.5,
2024-11-13 03:10:00,3246.5,3247.53,3243.7,3245.03,
2024-11-13 03:11:00,3245.03,3254.31,3242.31,3251.81,
2024-11-13 03:12:00,3251.81,3256.31,3246.94,3255.21,
2024-11-13 03:13:00,3255.21,3257.57,3247.34,3247.75,
2024-11-13 03:14:00,3247.75,3249.18,3245.37,3248.35,
2024-11-13 03:15:00,3248.35,3250.07,3245.71,3246.45,
2024-11-13 03:16:00,3246.45,3247.48,3242.53,3244.47,
2024-11-13 03:17:00,3244.47,3249.79,3243.79,3249.56,
2024-11-13 03:18:00,3249.56,3254.3,3249.05,3250.86,
2024-11-13 03:19:00,3250.86,3253.41,3250.58,3251.43,
2024-11-13 03:20:00,3251.43,3252.51,3248.35,3250.18,
2024-11-13 03:21:00,3250.18,3253.31,3249.12,3249.75,
2024-11-13 03:22:00,3249.75,3249.75,3240.3,3242.2,
2024-11-13 03:23:00,3242.2,3242.68,3238.47,3238.47,
2024-11-13 03:24:00,3238.47,3239.81,3234.34,3235.06,
2024-11-13 03:25:00,3235.06,3235.39,3227.65,3228.58,
2024-11-13 03:26:00,3228.58,3231.92,3228.04,3229.1,
2024-11-13 03:27:00,3229.1,3230.59,3226.43,3227.62,
2024-11-13 03:28:00,3227.62,3229.63,3223.68,3224.24,
2024-11-13 03:29:00,3224.24,3224.75,3217.84,3218.91,
2024-11-13 03:30:00,3218.91,3224.3,3218.58,3221.38,
2024-11-13 03:31:00,3221.38,3223.1,3217.08,3222.39,
2024-11-13 03:32:00,3222.39,3230.81,3222.39,3228.28,
2024-11-13 03:33:00,3228.28,3231.03,3226.65,3229.0,
2024-11-13 03:34:00,3229.0,3231.72,3227.85,3228.65,
2024-11-13 03:35:00,3228.65,3234.03,3228.51,3231.35,
2024-11-13 03:36:00,3231.35,3233.97,3229.32,3229.75,
2024-11-13 03:37:00,3229.75,3234.19,3227.27,3230.49,
2024-11-13 03:38:00,3230.49,3232.97,3229.32,3229.63,
2024-11-13 03:39:00,3229.63,3230.41,3224.6,3224.83,
2024-11-13 03:40:00,3224.83,3228.16,3222.95,3225.84,
2024-11-13 03:41:00,3225.84,3227.53,3221.82,3222.35,
2024-11-13 03:42:00,3222.35,3227.43,3221.96,3226.23,
2024-11-13 03:43:00,3226.23,3228.92,3220.03,3220.19,
