time,open,high,low,close,volumn,close_time,transaction_volume,transaction_number,active_buying_volume,active_buying_transaction_volume,ignore
2024-11-07 04:05:00,74937.99,74950.01,74908.58,74925.81,38.97589,1730952359999,2920521.9868583,4617,13.81679,1035331.5996089,0
2024-11-07 04:06:00,74925.82,74925.82,74892.0,74925.72,41.72785,1730952419999,3125697.3242716,4060,17.94013,1343880.8057845,0
2024-11-07 04:07:00,74925.72,74925.73,74864.01,74894.0,38.07221,1730952479999,2851051.1718579,4346,12.21538,914771.4634057,0
2024-11-07 04:08:00,74893.99,74916.0,74872.0,74916.0,17.67866,1730952539999,1324073.5263606,3265,11.21842,840230.5623662,0
2024-11-07 04:09:00,74915.99,74944.0,74855.0,74855.01,32.65042,1730952599999,2445713.7475491,4450,5.45842,408915.0788507,0
2024-11-07 04:10:00,74855.0,74874.0,74850.0,74860.48,35.44557,1730952659999,2653470.0127238,2648,14.1549,1059606.6593643,0
2024-11-07 04:11:00,74860.49,74906.59,74860.0,74906.58,20.87804,1730952719999,1563307.6842272,2113,12.66772,948558.519363,0
2024-11-07 04:12:00,74906.58,74909.95,74899.96,74903.99,9.17166,1730952779999,687010.8522259,1183,6.10826,457540.1696051,0
2024-11-07 04:13:00,74904.0,74904.0,74870.0,74870.0,8.74819,1730952839999,655196.4497788,1624,3.75407,281166.8913497,0
2024-11-07 04:14:00,74870.0,74870.01,74860.0,74860.0,5.4137,1730952899999,405294.9549534,999,1.41151,105673.1970833,0
2024-11-07 04:15:00,74860.0,74870.0,74860.0,74868.58,22.81284,1730952959999,1707802.9164935,989,15.18005,1136395.8003761,0
2024-11-07 04:16:00,74868.58,74868.59,74858.01,74858.01,17.57442,1730953019999,1315660.6879146,1104,3.01959,226048.2158277,0
2024-11-07 04:17:00,74858.01,74858.02,74854.0,74855.0,26.48755,1730953079999,1982724.4384721,831,24.25253,1815422.4128476,0
2024-11-07 04:18:00,74854.99,74855.0,74794.0,74794.99,75.86156,1730953139999,5677089.3186612,4336,5.23076,391371.2008724,0
2024-11-07 04:19:00,74795.0,74800.0,74794.99,74795.0,13.95019,1730953199999,1043442.676186,900,8.21381,614370.4389645,0
2024-11-07 04:20:00,74795.0,74850.0,74795.0,74838.0,16.65995,1730953259999,1246388.3960003,2568,11.48727,859342.9022432,0
2024-11-07 04:21:00,74838.01,74847.46,74832.01,74847.45,13.7973,1730953319999,1032542.975476,1054,10.44303,781514.4089913,0
2024-11-07 04:22:00,74847.45,74860.0,74847.45,74860.0,82.5025,1730953379999,6175702.7462658,1697,80.80192,6048412.2566671,0
2024-11-07 04:23:00,74860.0,74866.0,74859.99,74863.31,93.28363,1730953439999,6983231.6334522,1919,89.76209,6719594.1435856,0
2024-11-07 04:24:00,74863.3,74892.0,74856.62,74892.0,40.22679,1730953499999,3012031.6266759,1615,10.36413,776017.3002609,0
2024-11-07 04:25:00,74892.0,74897.43,74859.17,74869.86,20.80061,1730953559999,1557570.5650383,1414,5.37917,402766.0922432,0
2024-11-07 04:26:00,74869.86,74892.0,74869.85,74887.31,35.60273,1730953619999,2666286.0487547,1248,28.13444,2106979.9964705,0
2024-11-07 04:27:00,74887.3,74887.31,74864.5,74864.51,10.85558,1730953679999,812788.9226302,1826,4.52209,338574.3699517,0
2024-11-07 04:28:00,74864.51,74864.51,74840.0,74840.0,11.47725,1730953739999,859141.0040213,1503,2.78718,208643.1402191,0
2024-11-07 04:29:00,74840.0,74842.0,74826.48,74842.0,10.67279,1730953799999,798651.8037993,1332,5.96458,446334.7296435,0
2024-11-07 04:30:00,74842.0,74881.67,74842.0,74877.74,19.6827,1730953859999,1473642.8955859,1603,8.80178,658930.7391125,0
2024-11-07 04:31:00,74877.75,74888.0,74822.84,74836.92,61.58647,1730953919999,4610368.2729169,2123,9.06595,678753.2791965,0
2024-11-07 04:32:00,74836.93,74836.93,74793.77,74793.77,13.15343,1730953979999,984131.6557871,2068,1.38421,103565.4132424,0
2024-11-07 04:33:00,74793.77,74793.78,74766.0,74774.76,15.43238,1730954039999,1154028.9434166,1688,1.70189,127269.5272899,0
